sense_id,status_pre_aug,status_post_aug
oewn-also__4.02.00..,closed,closed
oewn-altaic__1.10.00..,artifact,artifact
oewn-altar__1.06.01..,artifact,artifact
oewn-alter__2.30.01..,artifact,artifact
oewn-alteration__1.11.00..,artifact,artifact
oewn-altered__3.00.00..,background,background
oewn-altered__5.00.00.castrated.00,background,background
oewn-altering__1.04.00..,artifact,artifact
oewn-alternate__1.18.00..,closed,closed
oewn-alternate__2.30.01..,closed,closed
oewn-alternate__2.31.00..,closed,closed
oewn-alternately__4.02.00..,circular,circular
oewn-alternating__3.00.00..,background,background
oewn-alternative__1.09.00..,background,background
oewn-alternative__5.00.00.secondary.01,background,background
oewn-althaea__1.20.00..,background,background
oewn-altitude__1.07.00..,background,background
oewn-altitude__1.25.00..,background,background
oewn-alto__5.00.01.high.03,artifact,artifact
oewn-alumina__1.27.00..,artifact,artifact
oewn-always__4.02.00..,background,background
oewn-alyssum__1.20.00..,artifact,artifact
oewn-alyssum__1.20.01..,artifact,artifact
oewn-amalgam__1.27.00..,graph_data,graph_data
oewn-amaryllis__1.20.00..,artifact,artifact
oewn-amateur__1.18.00..,artifact,artifact
oewn-amazement__1.12.00..,artifact,artifact
oewn-amber__1.07.00..,background,background
oewn-ambergris__1.27.00..,artifact,artifact
oewn-ambient__5.00.01.close.01,artifact,artifact
oewn-ambiguous__5.00.00.unstructured.00,artifact,artifact
oewn-ambitious__3.00.00..,artifact,artifact
oewn-ambrosia__1.20.00..,graph_data,graph_data
oewn-ambrosia__1.27.00..,artifact,artifact
oewn-ameba__1.05.00..,artifact,artifact
oewn-amend__2.30.01..,artifact,artifact
oewn-amend__2.32.00..,closed,closed
oewn-amendment__1.10.00..,artifact,artifact
oewn-amends__1.21.00..,artifact,artifact
oewn-america__1.15.00..,artifact,artifact
oewn-america__1.17.00..,closed,closed
oewn-american__1.18.00..,artifact,artifact
oewn-amino__1.27.00..,artifact,artifact
oewn-ammonia__1.27.00..,artifact,artifact
oewn-ammonia__1.27.01..,background,background
oewn-ammunition__1.06.00..,artifact,background
oewn-amnion__1.05.00..,artifact,artifact
oewn-amobarbital__1.06.00..,artifact,artifact
oewn-amorality__1.07.00..,artifact,artifact
oewn-amorous__5.00.01.loving.00,external,external
oewn-amorphous__5.00.00.unformed.00,artifact,background
oewn-amount__1.03.00..,background,background
oewn-amount__1.21.00..,background,background
oewn-amount__2.42.00..,background,background
oewn-amount__2.42.01..,background,background
oewn-amount__2.42.03..,background,background
oewn-ampere__1.23.00..,background,background
oewn-ampere__1.23.02..,background,background
oewn-amphibia__1.05.00..,artifact,artifact
oewn-amphibious__3.01.00..,artifact,artifact
oewn-amphibole__1.27.00..,artifact,artifact
oewn-amphitheater__1.06.00..,background,background
oewn-amplification__1.04.02..,artifact,artifact
oewn-amplitude__1.11.00..,artifact,artifact
oewn-amuse__2.41.00..,artifact,artifact
oewn-amusement__1.12.00..,artifact,artifact
oewn-amusing__5.00.00.interesting.00,artifact,artifact
oewn-anaerobic__3.00.00..,artifact,artifact
oewn-analgesic__1.06.00..,artifact,artifact
oewn-analogous__3.00.00..,artifact,artifact
oewn-analogous__5.00.00.similar.00,artifact,artifact
oewn-analysis__1.04.00..,artifact,artifact
oewn-analysis__1.09.00..,artifact,artifact
oewn-analysis__1.09.02..,artifact,artifact
oewn-analyze__2.31.00..,artifact,artifact
oewn-analyzed__3.00.00..,artifact,artifact
oewn-anaphor__1.10.00..,artifact,artifact
oewn-anatomical__1.10.00..,artifact,artifact
oewn-anatomically__4.02.00..,artifact,artifact
oewn-anatomy__1.08.00..,circular,circular
oewn-anatomy__1.09.00..,artifact,artifact
oewn-ancestor__1.18.00..,artifact,artifact
oewn-ancestral__5.00.00.inheritable.00,artifact,artifact
oewn-ancestry__1.14.00..,artifact,artifact
oewn-anchorage__1.15.01..,artifact,artifact
oewn-ancient__1.18.00..,background,background
oewn-ancient__1.18.01..,artifact,external
oewn-andromeda__1.17.00..,artifact,artifact
oewn-andromeda__1.18.00..,artifact,artifact
oewn-anecdote__1.10.00..,artifact,artifact
oewn-anemia__1.20.00..,artifact,artifact
oewn-anemia__1.26.00..,artifact,external
oewn-anemone__1.05.00..,graph_data,graph_data
oewn-anemone__1.20.00..,artifact,artifact
oewn-anesthetic__1.06.00..,artifact,artifact
oewn-anew__4.02.00..,artifact,background
oewn-angel__1.17.00..,artifact,artifact
oewn-anger__1.04.00..,background,background
oewn-anger__1.12.00..,background,background
oewn-anger__2.37.00..,background,background
oewn-angered__5.00.00.angry.00,artifact,artifact
oewn-angiosperm__1.20.00..,background,background
oewn-angiotensin__1.06.00..,background,background
oewn-angle__1.18.00..,artifact,artifact
oewn-angle__1.25.00..,artifact,artifact
oewn-angle__2.38.00..,artifact,artifact
oewn-angled__5.00.00.angular.00,artifact,artifact
oewn-angler__1.05.00..,artifact,artifact
