lemma,surface_word,seed_node_count,source_node_ids,parts_of_speech,max_degree_score,best_frequency,earliest_age_of_acquisition,mean_concreteness
floor,floor,1,floor::n,n,92,5.002205406405222,4.44,4.8
building,building,1,building::n,n,344,4.997612354973057,6.16,4.64
earth,earth,2,earth::n;earth::v,n;v,289,4.99727018872971,5.37,4.8
finish,finish,1,finish::v,v,15,4.9947813883260155,6.32,2.89
attention,attention,1,attention::n,n,190,4.993661072541599,6.78,2.3
pain,pain,1,pain::n,n,254,4.990456571846558,4.26,3.5
th,th,1,th::n,n,882,4.98993468776785,,
honor,honor,1,honor::v,v,14,4.983180906279282,7.89,1.68
colonel,colonel,1,colonel::n,n,12,4.982915634267428,9.62,3.89
boat,boat,1,boat::v,v,6,4.980787604781877,3.84,4.93
plane,plane,2,plane::n;plane::v,n;v,163,4.979630553525754,4.95,4.92
month,month,1,month::n,n,142,4.978023376388483,5.79,4.2
given,given,2,given::a;given::n,a;n,499,4.9777549343389955,,2.33
fair,fair,1,fair::a,a,18,4.976050937283341,5.67,2.39
ooh,ooh,1,ooh::v,v,7,4.9756014035697715,,
needed,needed,1,needed::a,a,104,4.974791068445668,,
across,across,1,across::r,r,248,4.973256297865468,6.637340000000001,3.07
song,song,1,song::n,n,88,4.971171172665254,4.26,4.46
horse,horse,1,horse::v,v,18,4.967429198531207,4.15,5.0
personal,personal,1,personal::n,n,182,4.961708644634262,8.05,2.21
message,message,2,message::n;message::v,n;v,83,4.960964989517793,6.32,3.97
system,system,1,system::n,n,616,4.960964989517793,9.9,2.94
box,box,1,box::v,v,8,4.952509930482984,4.3,4.9
present,present,2,present::a;present::n,a;n,201,4.951084610917121,4.83,3.39
charge,charge,1,charge::n,n,199,4.950798984808895,7.5,2.96
kept,kept,1,kept::a,a,130,4.950798984808895,,2.79
information,information,1,information::n,n,561,4.950608462988817,7.19,2.87
fool,fool,1,fool::v,v,11,4.950513170726909,7.56,3.19
simple,simple,1,simple::n,n,150,4.950417857551523,6.89,1.62
middle,middle,1,middle::v,v,5,4.949845538801572,4.6977660000000006,3.69
calm,calm,1,calm::v,v,16,4.9490812720281765,6.26,2.83
land,land,1,land::n,n,377,4.944563838213708,5.22,4.57
strong,strong,1,strong::a,a,544,4.938335892176072,4.58,3.14
fix,fix,1,fix::v,v,28,4.937943664123308,5.0,2.93
wearing,wearing,1,wearing::n,n,46,4.936371199922867,,3.59
